mmsi,timestamp,latitude,longitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,navigation_status,length_m,width_m,draft_m,cargo,transceiver_class,invalid_mmsi,invalid_timestamp,invalid_latitude,invalid_longitude,sog_unavailable,sog_invalid,cog_unavailable,cog_invalid,heading_unavailable,heading_invalid,is_valid_core_record,duplicate_record,elapsed_seconds,reporting_gap_minutes,distance_nm,calculated_speed_knots,speed_difference_knots,course_change_degrees,heading_change_degrees,acceleration_knots_per_minute,absolute_acceleration_knots_per_minute,turn_rate_degrees_per_minute,ml_decision_function,ml_anomaly_score,ml_is_anomaly
227730770,2024-06-14 00:53:37+00:00,40.69391,-74.05065,0.0,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0018012138222259367,0.036024276444518735,0.036024276444518735,0.0,,0.0,0.0,0.0,0.16489940934380481,-0.16489940934380481,False
227730770,2024-06-14 00:56:37+00:00,40.69391,-74.05062,0.0,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0013656868832996286,0.02731373766599257,0.02731373766599257,0.0,,0.0,0.0,0.0,0.1640959786303406,-0.1640959786303406,False
227730770,2024-06-14 01:02:39+00:00,40.69392,-74.05062,0.1,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,362.0,6.033333333333333,0.0006004046070267217,0.005970874545017122,0.09402912545498289,0.0,,0.01657458563535912,0.01657458563535912,0.0,0.1470914448607733,-0.1470914448607733,False
227730770,2024-06-14 01:05:37+00:00,40.69391,-74.05063,0.1,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,178.0,2.966666666666667,0.0007534713452145205,0.015238746307709404,0.0847612536922906,0.0,,0.0,0.0,0.0,0.16252198789753913,-0.16252198789753913,False
227730770,2024-06-14 01:11:37+00:00,40.69392,-74.05061,0.1,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,360.0,6.0,0.0010906049673306052,0.01090604967330605,0.08909395032669395,0.0,,0.0,0.0,0.0,0.14718754543754503,-0.14718754543754503,False
227730770,2024-06-14 01:23:37+00:00,40.69391,-74.05064,0.1,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,720.0,12.0,0.0014918398284806647,0.007459199142403323,0.09254080085759668,0.0,,0.0,0.0,0.0,0.13595755168011575,-0.13595755168011575,False
227730770,2024-06-14 01:26:39+00:00,40.6939,-74.05066,0.1,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,182.0,3.033333333333333,0.0010906050821027002,0.021572408217416048,0.07842759178258396,0.0,,0.0,0.0,0.0,0.16325969769674076,-0.16325969769674076,False
227730770,2024-06-14 01:29:37+00:00,40.69391,-74.05065,0.0,146.0,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,178.0,2.966666666666667,0.0007534713867992648,0.015238747148749177,0.015238747148749177,0.0,,-0.033707865168539325,0.033707865168539325,0.0,0.1622061914366334,-0.1622061914366334,False
227730770,2024-06-14 01:32:37+00:00,40.69392,-74.05063,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0010906049678140925,0.02181209935628185,0.07818790064371815,106.6,,0.03333333333333333,0.03333333333333333,35.53333333333333,0.16386908649733428,-0.16386908649733428,False
227730770,2024-06-14 01:41:37+00:00,40.69389,-74.05066,0.0,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,540.0,9.0,0.0022604141597890913,0.015069427731927276,0.015069427731927276,0.0,,-0.011111111111111112,0.011111111111111112,0.0,0.14491453351580608,-0.14491453351580608,False
